"Chris Webber",,,900,1849,2774,3733,5250,6050,7937,9680,11096,12667,13209,14633,15984,16911,17181,17182,17182,17182,17182,17182,17182,17182,17182
"Chuck Person",,,,,,,4610,6125,7599,9096,10405,11299,12171,13044,13044,13453,13756,13858,13858,13858,13858,13858,13858,13858,13858
"CJ McCollum",,,,,,,,,,,,9971,11341,12406,12406,,,,,,,,,,
"Clarence Weatherspoon",,,,,,,,5459,,,,,,,,,,,,,,,,,
"Clark Kellogg",,,,1625,3131,4563,4898,,,,,,,,,,,,,,,,,,
"Cliff Hagan",,,,,,,,,,,,,,,,,13447,13447,,,,,,,
"Cliff Robinson",,807,1955,3114,4533,5786,6827,8225,9266,10220,10794,10794,10794,,,,,,,,,,,,
"Clifford Robinson",,,,,,,,,,,,,,11538,12660,14259,15525,16617,17578,18499,18938,19426,19591,19591,19591
"Clyde Drexler",,,,,,3394,5176,7361,9484,11187,12954,14857,15833,17136,18789,19794,20908,22195,22195,22195,22195,22195,22195,22195,22195
"Coby White",,612,1267,2415,3061,,,,,,,,,,,,,,,,,,,,
"Cole Anthony",,,568,1667,2112,,,,,,,,,,,,,,,,,,,,
"Collin Sexton",,558,1987,2876,4356,4808,4949,,,,,,,,,,,,,,,,,,
"Corey Maggette",,40,688,1403,2142,3223,4728,6135,6736,8057,9555,10528,11945,12623,13103,13198,13198,,,,,,,,
"D'Angelo Russell",,678,1649,2449,3970,5338,5917,7175,8471,8471,,,,,,,,,,,,,,,
"Daequan Cook",,,518,1204,,,,,,,,,,,,,,,,,,,,,
"Daishen Nix",,30,,,,,,,,,,,,,,,,,,,,,,,
"Dajuan Wagner",,478,756,,,,,,,,,,,,,,,,,,,,,,
"Dale Ellis",,,,,,,,,,,,,,,12744,13914,14832,16036,17397,18331,18826,19004,19004,19004,19004
"Damian Lillard",,,,,,3257,4977,6856,8880,10842,12909,14586,16815,17510,18805,18805,18805,18805,18805,18805,18805,18805,18805,18805,18805
"Dan Issel",,,,,,,,,,,,,,,,,,13675,14659,14659,14659,14659,14659,14659,14659
"Danilo Gallinari",,,,1391,2361,,,,,,,,,,,,,,,,,,,,
"Danny Granger",,,,,,,,,,8143,9298,,,,,,,,,,,,,,
"Dante Exum",,393,,,,,,,,,,,,,,,,,,,,,,,
"Darius Bazley",,238,1096,1841,,,,,,,,,,,,,,,,,,,,,
"Darius Garland",,567,857,2495,4010,4178,,,,,,,,,,,,,,,,,,,
"Darius Miles",,761,1540,2158,3019,3828,4387,,,,,,,,,,,,,,,,,,
"Darko Miličić",48,115,,,,,,,,,,,,,,,,,,,,,,,
"Darrell Griffith",,,,,,3253,4962,6598,8362,8362,9504,10093,11228,11961,12391,,,,,,,,,,
"Darryl Dawkins",36,173,708,1564,2857,4039,4866,,,,,,,,,,,,,,,,,,
"Dave Bing",,,,,,,,5810,7703,9384,10778,12524,14136,15394,16788,17387,18329,18329,18329,18329,18329,18329,18329,18329,18329
"Dave Cowens",,,,,,,4648,6063,7406,8904,9726,11209,12382,13191,13191,13191,13515,13515,13515,13515,13515,13515,,,
"Dave DeBusschere",,,,,,,,,,,,,,11564,12816,14051,14051,14051,14051,14051,14051,14051,14051,14051,14051
"David Robinson",,,,,,,,,,,9971,12209,14260,14366,15940,16715,18142,19293,20244,20790,20790,20790,20790,20790,20790
"David Thompson",,,,,2125,4299,6124,6963,8930,9836,11026,11266,11266,,,,,,,,,,,,
"David West",,,,,,,,,,,,,,,,,,,13539,14034,14034,14034,14034,14034,14034
