NBA LINK,PLAYER,ID,HEADSHOT
https://www.nba.com/player/1628969/mikal-bridges/,Mikal Bridges,1628969,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png
https://www.nba.com/player/1628970/miles-bridges/,Miles Bridges,1628970,https://cdn.nba.com/headshots/nba/latest/1040x760/1628970.png
https://www.nba.com/stats/player/76254/career/,Al Brightman,76254,https://cdn.nba.com/headshots/nba/latest/1040x760/76254.png
https://www.nba.com/stats/player/1628578/career/,Amida Brimah,1628578,https://cdn.nba.com/headshots/nba/latest/1040x760/1628578.png
https://www.nba.com/stats/player/76255/career/,Audley Brindley,76255,https://cdn.nba.com/headshots/nba/latest/1040x760/76255.png
https://www.nba.com/stats/player/1628515/career/,Isaiah Briscoe,1628515,https://cdn.nba.com/headshots/nba/latest/1040x760/1628515.png
https://www.nba.com/stats/player/76256/career/,John Brisker,76256,https://cdn.nba.com/headshots/nba/latest/1040x760/76256.png
https://www.nba.com/stats/player/1629052/career/,Oshae Brissett,1629052,https://cdn.nba.com/headshots/nba/latest/1040x760/1629052.png
https://www.nba.com/stats/player/76257/career/,Allan Bristow,76257,https://cdn.nba.com/headshots/nba/latest/1040x760/76257.png
https://www.nba.com/stats/player/76258/career/,Tyrone Britt,76258,https://cdn.nba.com/headshots/nba/latest/1040x760/76258.png
https://www.nba.com/stats/player/76259/career/,Wayman Britt,76259,https://cdn.nba.com/headshots/nba/latest/1040x760/76259.png
https://www.nba.com/stats/player/76260/career/,Mike Brittain,76260,https://cdn.nba.com/headshots/nba/latest/1040x760/76260.png
https://www.nba.com/stats/player/76261/career/,David Britton,76261,https://cdn.nba.com/headshots/nba/latest/1040x760/76261.png
https://www.nba.com/stats/player/1631167/career/,Izaiah Brockington,1631167,https://cdn.nba.com/headshots/nba/latest/1040x760/1631167.png
https://www.nba.com/stats/player/201972/career/,Jon Brockman,201972,https://cdn.nba.com/headshots/nba/latest/1040x760/201972.png
https://www.nba.com/stats/player/1629151/career/,Ryan Broekhoff,1629151,https://cdn.nba.com/headshots/nba/latest/1040x760/1629151.png
https://www.nba.com/stats/player/76262/career/,Jim Brogan,76262,https://cdn.nba.com/headshots/nba/latest/1040x760/76262.png
https://www.nba.com/stats/player/1627763/career/,Malcolm Brogdon,1627763,https://cdn.nba.com/headshots/nba/latest/1040x760/1627763.png
https://www.nba.com/stats/player/76263/career/,Gary Brokaw,76263,https://cdn.nba.com/headshots/nba/latest/1040x760/76263.png
https://www.nba.com/stats/player/76264/career/,Price Brookfield,76264,https://cdn.nba.com/headshots/nba/latest/1040x760/76264.png
https://www.nba.com/stats/player/201166/career/,Aaron Brooks,201166,https://cdn.nba.com/headshots/nba/latest/1040x760/201166.png
https://www.nba.com/stats/player/1629717/career/,Armoni Brooks,1629717,https://cdn.nba.com/headshots/nba/latest/1040x760/1629717.png
