"Player",1948,1949,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1972,1973,1974,1975,1976,1977,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1995,2002,2003,2004,2005,2008,2009,2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
"Jack Nichols",,,,,,100,173,214,249,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
"Steve Kuberski",,,,,,,,,,,,,,,,,,,,,,128,173,188,188,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
"Chris Ford",,,,,,,,,,,,,,,,,,,,,,,,,,,,82,236,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283
"Brandon Bass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,261,281,281,281,281,281,281,281,281,281,281,281,281
"Kevin Gamble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,80,216,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
"Paul Westphal",,,,,,,,,,,,,,,,,,,,,,,43,146,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
"Daniel Theis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,164,164,233,233,233,233,233
"Malcolm Brogdon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,226,226,226
"Tony Delk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
"Eric Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
"Willie Naulls",,,,,,,,,,,,,,,,91,179,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
"Rick Robey",,,,,,,,,,,,,,,,,,,,,,,,,,,,55,141,196,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
"Emmette Bryant",,,,,,,,,,,,,,,,,,,,,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
"Kyrie Irving",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,192,192,192,192,192,192,192
"Kenny Anderson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
"Jeff Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,66,188,188,188,188,188,188,188,188,188,188,188,188,188
"Kelly Olynyk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,20,185,185,185,185,185,185,185,185,185,185
"Sam Hauser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,138,166,184
"James Posey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
"Brian Shaw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
"Ed Pinckney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,76,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
"Kristaps Porzingis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,171,171
"Walter McCarty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,143,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
"Tony Allen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,39,48,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
"Gene Conley",,,,,,,,,,,54,138,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
"Tony Battie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
"Eddie House",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
