,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
,,,,,,,,,,,,,,,,Jae Crowder,Cleveland Cavaliers,Marquette,2012,2,4,34,NCAA,,,,,
,,,,,,,,,,,,,,,,Draymond Green,Golden State Warriors,Michigan State,2012,2,5,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Quincy Acy,Toronto Raptors,Baylor,2012,2,7,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Quincy Miller,Denver Nuggets,Baylor,2012,2,8,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Khris Middleton,Detroit Pistons,Texas A&M,2012,2,9,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Will Barton,Portland Trail Blazers,Memphis,2012,2,10,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Tyshawn Taylor,Portland Trail Blazers,Kansas,2012,2,11,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Doron Lamb,Milwaukee Bucks,Kentucky,2012,2,12,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Mike Scott,Atlanta Hawks,Virginia,2012,2,13,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Kim English,Detroit Pistons,Missouri,2012,2,14,44,NCAA,,,,,
,,,,,,,,,,,,,,,,Justin Hamilton,Philadelphia 76ers,Louisiana State,2012,2,15,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Darius Miller,New Orleans Hornets,Kentucky,2012,2,16,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Kris Joseph,Boston Celtics,Syracuse,2012,2,21,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Tornike Shengelia,Philadelphia 76ers,Georgia,2012,2,24,54,NCAA,,,,,
,,,,,,,,,,,,,,,,Darius Johnson-Odom,Dallas Mavericks,Marquette,2012,2,25,55,NCAA,,,,,
,,,,,,,,,,,,,,,,Robbie Hummel,Minnesota Timberwolves,Purdue,2012,2,28,58,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Denmon,San Antonio Spurs,Missouri,2012,2,29,59,NCAA,,,,,
,,,,,,,,,,,,,,,,Robert Sacre,Los Angeles Lakers,Gonzaga,2012,2,30,60,NCAA,,,,,
,,,,,,,,,,,,,,,,Kyrie Irving,Cleveland Cavaliers,Duke,2011,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Derrick Williams,Minnesota Timberwolves,Arizona,2011,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Enes Freedom,Utah Jazz,Kentucky,2011,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Tristan Thompson,Cleveland Cavaliers,Texas,2011,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Brandon Knight,Detroit Pistons,Kentucky,2011,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Kemba Walker,Charlotte Bobcats,Connecticut,2011,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Jimmer Fredette,Milwaukee Bucks,Brigham Young,2011,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Klay Thompson,Golden State Warriors,Washington State,2011,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Alec Burks,Utah Jazz,Colorado,2011,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Markieff Morris,Phoenix Suns,Kansas,2011,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Morris Sr.,Houston Rockets,Kansas,2011,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Kawhi Leonard,Indiana Pacers,San Diego State,2011,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Nikola Vučević,Philadelphia 76ers,Southern California,2011,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Iman Shumpert,New York Knicks,Georgia Tech,2011,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Singleton,Washington Wizards,Florida State,2011,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Tobias Harris,Charlotte Bobcats,Tennessee,2011,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Nolan Smith,Portland Trail Blazers,Duke,2011,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Reggie Jackson,Oklahoma City Thunder,Boston College,2011,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,MarShon Brooks,Boston Celtics,Providence,2011,1,25,25,NCAA,,,,,
,,,,,,,,,,,,,,,,Jordan Hamilton,Dallas Mavericks,Texas,2011,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,JaJuan Johnson,New Jersey Nets,Purdue,2011,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Cory Joseph,San Antonio Spurs,Texas,2011,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Jimmy Butler III,Chicago Bulls,Marquette,2011,1,30,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Kyle Singler,Detroit Pistons,Duke,2011,2,3,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Tyler Honeycutt,Sacramento Kings,California-Los Angeles,2011,2,5,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Jordan Williams,New Jersey Nets,Maryland,2011,2,6,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Trey Thompkins,Los Angeles Clippers,Georgia,2011,2,7,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Chandler Parsons,Houston Rockets,Florida,2011,2,8,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Jon Leuer,Milwaukee Bucks,Wisconsin,2011,2,10,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Darius Morris,Los Angeles Lakers,Michigan,2011,2,11,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Malcolm Lee,Chicago Bulls,California-Los Angeles,2011,2,13,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Josh Harrellson,New Orleans Hornets,Kentucky,2011,2,15,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Travis Leslie,Los Angeles Clippers,Georgia,2011,2,17,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Josh Selby,Memphis Grizzlies,Kansas,2011,2,19,49,NCAA,,,,,
,,,,,,,,,,,,,,,,Lavoy Allen,Philadelphia 76ers,Temple,2011,2,20,50,NCAA,,,,,
,,,,,,,,,,,,,,,,Jon Diebler,Portland Trail Blazers,Ohio State,2011,2,21,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Vernon Macklin,Detroit Pistons,Florida,2011,2,22,52,NCAA,,,,,
,,,,,,,,,,,,,,,,DeAndre Liggins,Orlando Magic,Kentucky,2011,2,23,53,NCAA,,,,,
,,,,,,,,,,,,,,,,E'Twaun Moore,Boston Celtics,Purdue,2011,2,25,55,NCAA,,,,,
,,,,,,,,,,,,,,,,Isaiah Thomas,Sacramento Kings,Washington,2011,2,30,60,NCAA,,,,,
,,,,,,,,,,,,,,,,John Wall,Washington Wizards,Kentucky,2010,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Evan Turner,Philadelphia 76ers,Ohio State,2010,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Derrick Favors,New Jersey Nets,Georgia Tech,2010,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Wesley Johnson,Minnesota Timberwolves,Syracuse,2010,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,DeMarcus Cousins,Sacramento Kings,Kentucky,2010,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Ekpe Udoh,Golden State Warriors,Baylor,2010,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Greg Monroe,Detroit Pistons,Georgetown,2010,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Al-Farouq Aminu,Los Angeles Clippers,Wake Forest,2010,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Paul George,Indiana Pacers,Fresno State,2010,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Cole Aldrich,New Orleans Hornets,Kansas,2010,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Xavier Henry,Memphis Grizzlies,Kansas,2010,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Ed Davis,Toronto Raptors,North Carolina,2010,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Patrick Patterson,Houston Rockets,Kentucky,2010,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Larry Sanders,Milwaukee Bucks,Virginia Commonwealth,2010,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Luke Babbitt,Minnesota Timberwolves,Nevada-Reno,2010,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Bledsoe,Oklahoma City Thunder,Kentucky,2010,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Avery Bradley,Boston Celtics,Texas,2010,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,James Anderson,San Antonio Spurs,Oklahoma State,2010,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Craig Brackins,Oklahoma City Thunder,Iowa State,2010,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Elliot Williams,Portland Trail Blazers,Memphis,2010,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Trevor Booker,Minnesota Timberwolves,Clemson,2010,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Damion James,Atlanta Hawks,Texas,2010,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,Quincy Pondexter,Oklahoma City Thunder,Washington,2010,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Jordan Crawford,New Jersey Nets,Xavier,2010,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Greivis Vasquez,Memphis Grizzlies,Maryland,2010,1,28,28,NCAA,,,,,
,,,,,,,,,,,,,,,,Daniel Orton,Orlando Magic,Kentucky,2010,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Lazar Hayward,Washington Wizards,Marquette,2010,1,30,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Dexter Pittman,Miami Heat,Texas,2010,2,2,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Armon Johnson,Portland Trail Blazers,Nevada-Reno,2010,2,4,34,NCAA,,,,,
,,,,,,,,,,,,,,,,Terrico White,Detroit Pistons,Mississippi,2010,2,6,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Darington Hobson,Milwaukee Bucks,New Mexico,2010,2,7,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Andy Rautins,New York Knicks,Syracuse,2010,2,8,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Landry Fields,New York Knicks,Stanford,2010,2,9,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Lance Stephenson,Indiana Pacers,Cincinnati,2010,2,10,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Jarvis Varnado,Miami Heat,Mississippi State,2010,2,11,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Da'Sean Butler,Miami Heat,West Virginia,2010,2,12,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Devin Ebanks,Los Angeles Lakers,West Virginia,2010,2,13,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Gani Lawal,Phoenix Suns,Georgia Tech,2010,2,16,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Tiny Gallon,Milwaukee Bucks,Oklahoma,2010,2,17,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Solomon Alabi,Dallas Mavericks,Florida State,2010,2,20,50,NCAA,,,,,
,,,,,,,,,,,,,,,,Magnum Rolle,Oklahoma City Thunder,Louisiana Tech,2010,2,21,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Luke Harangody,Boston Celtics,Notre Dame,2010,2,22,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Willie Warren,Los Angeles Clippers,Oklahoma,2010,2,24,54,NCAA,,,,,
,,,,,,,,,,,,,,,,Jeremy Evans,Utah Jazz,Western Kentucky,2010,2,25,55,NCAA,,,,,
,,,,,,,,,,,,,,,,Hamady Ndiaye,Minnesota Timberwolves,Rutgers,2010,2,26,56,NCAA,,,,,
,,,,,,,,,,,,,,,,Ryan Reid,Indiana Pacers,Florida State,2010,2,27,57,NCAA,,,,,
,,,,,,,,,,,,,,,,Derrick Caracter,Los Angeles Lakers,Texas-El Paso,2010,2,28,58,NCAA,,,,,
,,,,,,,,,,,,,,,,Stanley Robinson,Orlando Magic,Connecticut,2010,2,29,59,NCAA,,,,,
,,,,,,,,,,,,,,,,Dwayne Collins,Phoenix Suns,Miami (FL),2010,2,30,60,NCAA,,,,,
,,,,,,,,,,,,,,,,Blake Griffin,Los Angeles Clippers,Oklahoma,2009,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Hasheem Thabeet,Memphis Grizzlies,Connecticut,2009,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,James Harden,Oklahoma City Thunder,Arizona State,2009,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Tyreke Evans,Sacramento Kings,Memphis,2009,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Jonny Flynn,Minnesota Timberwolves,Syracuse,2009,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Jordan Hill,New York Knicks,Arizona,2009,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,DeMar DeRozan,Toronto Raptors,Southern California,2009,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Terrence Williams,New Jersey Nets,Louisville,2009,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Gerald Henderson,Charlotte Bobcats,Duke,2009,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Tyler Hansbrough,Indiana Pacers,North Carolina,2009,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Earl Clark,Phoenix Suns,Louisville,2009,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Austin Daye,Detroit Pistons,Gonzaga,2009,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,James Johnson,Chicago Bulls,Wake Forest,2009,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Jrue Holiday,Philadelphia 76ers,California-Los Angeles,2009,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Ty Lawson,Minnesota Timberwolves,North Carolina,2009,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Jeff Teague,Atlanta Hawks,Wake Forest,2009,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Maynor,Utah Jazz,Virginia Commonwealth,2009,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Darren Collison,New Orleans Hornets,California-Los Angeles,2009,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Byron Mullens,Dallas Mavericks,Ohio State,2009,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,Taj Gibson,Chicago Bulls,Southern California,2009,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,DeMarre Carroll,Memphis Grizzlies,Missouri,2009,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Wayne Ellington,Minnesota Timberwolves,North Carolina,2009,1,28,28,NCAA,,,,,
,,,,,,,,,,,,,,,,Toney Douglas,Los Angeles Lakers,Florida State,2009,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Jeff Ayres,Sacramento Kings,Arizona State,2009,2,1,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Dante Cunningham,Portland Trail Blazers,Villanova,2009,2,3,33,NCAA,,,,,
,,,,,,,,,,,,,,,,DaJuan Summers,Detroit Pistons,Georgetown,2009,2,5,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Sam Young,Memphis Grizzlies,Pittsburgh,2009,2,6,36,NCAA,,,,,
,,,,,,,,,,,,,,,,DeJuan Blair,San Antonio Spurs,Pittsburgh,2009,2,7,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Jon Brockman,Portland Trail Blazers,Washington,2009,2,8,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Derrick Brown,Charlotte Bobcats,Xavier,2009,2,10,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Jodie Meeks,Milwaukee Bucks,Kentucky,2009,2,11,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Thornton,Miami Heat,Louisiana State,2009,2,13,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Chase Budinger,Detroit Pistons,Arizona,2009,2,14,44,NCAA,,,,,
,,,,,,,,,,,,,,,,Nick Calathes,Minnesota Timberwolves,Florida,2009,2,15,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Danny Green,Cleveland Cavaliers,North Carolina,2009,2,16,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Taylor Griffin,Phoenix Suns,Oklahoma,2009,2,18,48,NCAA,,,,,
,,,,,,,,,,,,,,,,Goran Suton,Utah Jazz,Michigan State,2009,2,20,50,NCAA,,,,,
,,,,,,,,,,,,,,,,Jack McClinton,San Antonio Spurs,Miami (FL),2009,2,21,51,NCAA,,,,,
,,,,,,,,,,,,,,,,AJ Price,Indiana Pacers,Connecticut,2009,2,22,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Ahmad Nivins,Dallas Mavericks,Saint Joseph's,2009,2,26,56,NCAA,,,,,
,,,,,,,,,,,,,,,,Chinemelu Elonu,Los Angeles Lakers,Texas A&M,2009,2,29,59,NCAA,,,,,
,,,,,,,,,,,,,,,,Robert Dozier,Miami Heat,Memphis,2009,2,30,60,NCAA,,,,,
,,,,,,,,,,,,,,,,Derrick Rose,Chicago Bulls,Memphis,2008,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Michael Beasley,Miami Heat,Kansas State,2008,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,O.J. Mayo,Minnesota Timberwolves,Southern California,2008,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Russell Westbrook,Oklahoma City Thunder,California-Los Angeles,2008,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Kevin Love,Memphis Grizzlies,California-Los Angeles,2008,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Gordon,Los Angeles Clippers,Indiana,2008,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Joe Alexander,Milwaukee Bucks,West Virginia,2008,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,D.J. Augustin,Charlotte Bobcats,Texas,2008,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Brook Lopez,New Jersey Nets,Stanford,2008,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Jerryd Bayless,Indiana Pacers,Arizona,2008,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Brandon Rush,Portland Trail Blazers,Kansas,2008,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Anthony Randolph,Golden State Warriors,Louisiana State,2008,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Robin Lopez,Phoenix Suns,Stanford,2008,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Marreese Speights,Philadelphia 76ers,Florida,2008,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Roy Hibbert,Toronto Raptors,Georgetown,2008,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,JaVale McGee,Washington Wizards,Nevada-Reno,2008,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,JJ Hickson,Cleveland Cavaliers,North Carolina State,2008,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Ryan Anderson,New Jersey Nets,California,2008,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Courtney Lee,Orlando Magic,Western Kentucky,2008,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Kosta Koufos,Utah Jazz,Ohio State,2008,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Darrell Arthur,New Orleans Hornets,Kansas,2008,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Donte Greene,Memphis Grizzlies,Syracuse,2008,1,28,28,NCAA,,,,,
,,,,,,,,,,,,,,,,DJ White,Detroit Pistons,Indiana,2008,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,J.R. Giddens,Boston Celtics,New Mexico,2008,1,30,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Joey Dorsey,Portland Trail Blazers,Memphis,2008,2,3,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Mario Chalmers,Minnesota Timberwolves,Kansas,2008,2,4,34,NCAA,,,,,
,,,,,,,,,,,,,,,,DeAndre Jordan,Los Angeles Clippers,Texas A&M,2008,2,5,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Luc Mbah a Moute,Milwaukee Bucks,California-Los Angeles,2008,2,7,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Kyle Weaver,Charlotte Bobcats,Washington State,2008,2,8,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Sonny Weems,Chicago Bulls,Arkansas,2008,2,9,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Douglas-Roberts,New Jersey Nets,Memphis,2008,2,10,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Sean Singletary,Sacramento Kings,Virginia,2008,2,12,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Patrick Ewing,Sacramento Kings,Georgetown,2008,2,13,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Trent Plaisted,Oklahoma City Thunder,Brigham Young,2008,2,16,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Henry Walker,Washington Wizards,Kansas State,2008,2,17,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Malik Hairston,Phoenix Suns,Oregon,2008,2,18,48,NCAA,,,,,
,,,,,,,,,,,,,,,,Richard Hendrix,Golden State Warriors,Alabama,2008,2,19,49,NCAA,,,,,
,,,,,,,,,,,,,,,,DeVon Hardin,Oklahoma City Thunder,California,2008,2,20,50,NCAA,,,,,
,,,,,,,,,,,,,,,,Shan Foster,Dallas Mavericks,Vanderbilt,2008,2,21,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Darnell Jackson,Miami Heat,Kansas,2008,2,22,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Maarty Leunen,Houston Rockets,Oregon,2008,2,24,54,NCAA,,,,,
,,,,,,,,,,,,,,,,Sasha Kaun,Oklahoma City Thunder,Kansas,2008,2,26,56,NCAA,,,,,
,,,,,,,,,,,,,,,,James Gist,San Antonio Spurs,Maryland,2008,2,27,57,NCAA,,,,,
,,,,,,,,,,,,,,,,Joe Crawford,Los Angeles Lakers,Kentucky,2008,2,28,58,NCAA,,,,,
,,,,,,,,,,,,,,,,Deron Washington,Detroit Pistons,Virginia Tech,2008,2,29,59,NCAA,,,,,
,,,,,,,,,,,,,,,,Greg Oden,Portland Trail Blazers,Ohio State,2007,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Kevin Durant,Seattle SuperSonics,Texas,2007,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Al Horford,Atlanta Hawks,Florida,2007,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Mike Conley,Memphis Grizzlies,Ohio State,2007,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Jeff Green,Boston Celtics,Georgetown,2007,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Corey Brewer,Minnesota Timberwolves,Florida,2007,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Brandan Wright,Charlotte Bobcats,North Carolina,2007,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Joakim Noah,Chicago Bulls,Florida,2007,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Spencer Hawes,Sacramento Kings,Washington,2007,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Acie Law,Atlanta Hawks,Texas A&M,2007,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Thaddeus Young,Philadelphia 76ers,Georgia Tech,2007,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Julian Wright,New Orleans Hornets,Kansas,2007,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Al Thornton,Los Angeles Clippers,Florida State,2007,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Nick Young,Washington Wizards,Southern California,2007,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Sean Williams,New Jersey Nets,Boston College,2007,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Javaris Crittenton,Los Angeles Lakers,Georgia Tech,2007,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Jason Smith,Miami Heat,Colorado State,2007,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Daequan Cook,Philadelphia 76ers,Ohio State,2007,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Jared Dudley,Charlotte Bobcats,Boston College,2007,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Wilson Chandler,New York Knicks,DePaul,2007,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Aaron Brooks,Houston Rockets,Oregon,2007,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Arron Afflalo,Detroit Pistons,California-Los Angeles,2007,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Alando Tucker,Phoenix Suns,Wisconsin,2007,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Carl Landry,Seattle SuperSonics,Purdue,2007,2,1,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Gabe Pruitt,Boston Celtics,Southern California,2007,2,2,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Williams,San Antonio Spurs,Arizona,2007,2,3,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Nick Fazekas,Dallas Mavericks,Nevada-Reno,2007,2,4,34,NCAA,,,,,
,,,,,,,,,,,,,,,,Glen Davis,Seattle SuperSonics,Louisiana State,2007,2,5,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Jermareo Davidson,Golden State Warriors,Alabama,2007,2,6,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Josh McRoberts,Portland Trail Blazers,Duke,2007,2,7,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Richard,Minnesota Timberwolves,Florida,2007,2,11,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Derrick Byars,Portland Trail Blazers,Vanderbilt,2007,2,12,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Adam Haluska,New Orleans Hornets,Iowa,2007,2,13,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Reyshawn Terry,Orlando Magic,North Carolina,2007,2,14,44,NCAA,,,,,
,,,,,,,,,,,,,,,,Stephane Lasme,Golden State Warriors,Massachusetts,2007,2,16,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Dominic McGuire,Washington Wizards,Fresno State,2007,2,17,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Aaron Gray,Chicago Bulls,Pittsburgh,2007,2,19,49,NCAA,,,,,
,,,,,,,,,,,,,,,,JamesOn Curry,Chicago Bulls,Oklahoma State,2007,2,21,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Taurean Green,Portland Trail Blazers,Florida,2007,2,22,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Demetris Nichols,Portland Trail Blazers,Syracuse,2007,2,23,53,NCAA,,,,,
,,,,,,,,,,,,,,,,Herbert Hill,Utah Jazz,Providence,2007,2,25,55,NCAA,,,,,
