Michael Doleac,,,,,,,,,,16,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Amare Stoudemire,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30
Christian Laettner,,,,,,,,,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Omer Yurtseven,,,,,,,,,,,,,,,,,,,,,,,25,29,29,29
Rex Chapman,,,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Carlos Arroyo,,,,,,,,,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26
Sasha Danilovic,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Derek Anderson,,,,,,,,,,,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Juwan Howard,,,,,,,,,,,,,,,17,24,24,24,24,24,24,24,24,24,24,24
Mark Strickland,,,,8,17,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Ronny Turiaf,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,23
Tony Smith,,,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Derrick Jones,,,,,,,,,,,,,,,,,,,,,22,22,22,22,22,22
Shandon Anderson,,,,,,,,,,8,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Jason Kapono,,,,,,,,,,,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Pelle Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,20
Trevor Ariza,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19
Kel'el Ware,,,,,,,,,,,,,,,,,,,,,,,,,,19
Chris Gatling,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Patrick Mills,,,,,,,,,,,,,,,,,,,,,,,,,18,18
Nemanja Bjelica,,,,,,,,,,,,,,,,,,,,,,18,18,18,18,18
Anthony Mason,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Kevin Edwards,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Meyers Leonard,,,,,,,,,,,,,,,,,,,,,14,14,14,14,14,14
Walt Williams,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Jamario Moon,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Kurt Thomas,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Solomon Hill,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12
Thomas Bryant,,,,,,,,,,,,,,,,,,,,,,,,,12,12
Rodney Buford,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Toney Douglas,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10
Chris Quinn,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Precious Achiuwa,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
Danny Schayes,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Marty Conlon,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Jamaal Magloire,,,,,,,,,,,,,2,2,6,6,6,6,6,6,6,6,6,6,6,6
Alec Burks,,,,,,,,,,,,,,,,,,,,,,,,,,6
Duane Causwell,,,,,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Tyrone Corbin,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cedric Ceballos,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Terrel Harris,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5
Terry Mills,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ed Pinckney,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
A.C. Green,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Alan Ogg,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Yakhouba Diawara,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Alec Kessler,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Keshad Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,2
Rodney McGruder,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
Willie Burton,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
John Morton,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Matt Geiger,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stacey King,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Briante Weber,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Kyle Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,0
Jon Sundvold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Oden,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Dexter Pittman,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
KZ Okpala,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Luke Babbitt,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Loren Woods,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markieff Morris,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Orlando Robinson,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Rex Walters,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samaki Walker,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Simien,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wang Zhizhi,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
